source_id,title,url,kind,access,reuse_status,weeks,truth_role,student_role,estimated_burden,strengths,limitations,permanence_risk,supports_lab,notes
QEMU-USER,QEMU User Mode Emulation,https://qemu.readthedocs.io/en/master/user/,official_tool_docs,free,GPL-2.0,"3;6;9",normative_tool_truth,tool_reference,medium,"Runs programs compiled for another CPU architecture on the host OS","Emulation is not equivalent to hardware performance and must not be benchmarked as such",low,yes,"Strong execution path for instruction-level work"
QEMU-RV,QEMU RISC-V System Emulator,https://qemu.readthedocs.io/en/master/system/target-riscv.html,official_tool_docs,free,GPL-2.0,"6;11",normative_tool_truth,tool_reference,high,"Emulates 32-bit and 64-bit RISC-V systems","System emulation adds board/device complexity not needed for every lab",low,yes,"Likely enrichment or selected Week 11 use rather than default for all students"
DOCKER,Docker Get Started / Concepts,https://docs.docker.com/get-started/,official_tool_docs,free,link_reference,"3",tool_truth,student_reference,low_medium,"Clear image/container/runtime concepts and mainstream setup guidance","Vendor/runtime-specific; course should remain Podman/Docker aware where practical",low,yes,"Teach reproducibility rather than Docker trivia"
MPL,Matplotlib stable documentation,https://matplotlib.org/stable/,official_tool_docs,free,link_reference,"5;8;10;12;13;14",tool_truth,tool_reference,medium,"Stable Python plotting foundation with exportable figures","Raw API surface is much larger than students need",low,yes,"Course owns plotting helpers; plotting syntax is not graded"
TECTONIC,Tectonic Typesetting System,https://tectonic-typesetting.github.io/en-US/index.html,official_tool_docs,free,MIT-code-mixed-TeX-component-licenses,"5;6;7;8;9;10;11;12;13;14",tool_truth,tool_reference,low_medium,"Modern MIT-licensed TeX engine aimed at reproducible builds","Bundled/downloaded TeX assets have their own licenses and Prompt 003 must validate install size/platform behavior",low,yes,"Strong candidate for one-command Machine Dossier PDF"
OPENMP,OpenMP Specifications,https://www.openmp.org/specifications/,official_spec,free,link_reference,"12;13",normative_truth,primary_reference,high,"Portable shared-memory parallel model with current OpenMP 6.0 spec","Full specification is far too large for student-first reading",low,yes,"Use a tiny subset through course-owned examples"
OPENMP-EX,OpenMP Examples 6.0.1,https://www.openmp.org/specifications/,official_examples,free,official_examples,"12;13",teaching_reference,student_or_instructor_reference,medium,"Current free examples covering parallel execution SIMD synchronization and more","Still broader than course needs and syntax can distract from architecture",low,yes,"Better teaching companion than assigning the full spec"
OPENMPI,Open MPI Documentation,https://docs.open-mpi.org/en/v5.0.x/,official_tool_docs,free,link_reference,"12",normative_tool_truth,optional_tool_reference,medium,"Officially supports multi-process MPI jobs on one laptop/workstation","Installation and MPI syntax may add friction; local shared-memory MPI does not reproduce a real network by itself",low,yes,"Optional communication instrument if Prompt 003 proves humane"
CUDA,NVIDIA CUDA Programming Guide,https://docs.nvidia.com/cuda/cuda-programming-guide/,vendor_primary_docs,free,link_only,"13",vendor_normative_truth,optional_primary_reference,high,"Current official SIMT memory hierarchy coalescing and data-movement explanations","Vendor-specific and GPU hardware is not available to every student",low,yes,"Instructor/optional student truth source; CPU-only lab remains canonical"
PCPP,PCPartPicker System Builder,https://pcpartpicker.com/,current_market_workflow,free_public_site,site_terms_apply,"5;14",none,current_evidence_workflow,low,"Familiar build workflow combining parts compatibility and current retail observations","Aggregator is not architecture truth; compatibility coverage and prices must be independently checked where material",high,yes,"Recommended default exercise surface with equivalent alternatives allowed"
W5-CURRENT,Week 5/14 current manufacturer and retailer evidence,selected-at-authoring-time,current_vendor_market,variable,current_evidence_only,"5;14",current_spec_truth,student_evidence,low_medium,"Lets students compare real current components prices capacities power and interfaces","Volatile and vendor-specific; URLs/products change",high,yes,"Date-stamp every observation; verify specifications against manufacturer pages where practical"
SHARED-W1,Shared SWOSU Success Foundations,shared internal source,shared_curriculum,course_access,shared_internal,"1",course_truth,required_course_source,low,"Keeps Week 1 aligned across the course family","Depends on shared-source readiness",low,no,"Reuse rather than fork"
SHARED-AI,Shared AI Fluency / Professional Minds,shared internal source,shared_curriculum,course_access,shared_internal,"2;3;4;5;6;7;8;9;10;11;12;13;14;15;16",course_truth,required_course_source,low_medium,"Provides consistent AI Fluency and Professional Minds cadence","Architecture-specific application still must be authored",low,yes,"Provider-neutral; no premium AI dependency"
SHARED-FARKLE,Shared Farkle + ML package,shared internal source when accepted,shared_curriculum,course_access,shared_internal,"16",course_truth,required_course_source,low_medium,"Preserves family-wide shared application/fun week","Not yet a reason to reopen Architecture technical content",low,yes,"No Architecture capstone/checkpoint layer"
