"zybook_identifier","chapter_number","chapter_title","section_number","section_title","classification","target_week_topic","reason","prerequisite_dependency"
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.4","2.4 Signed and unsigned numbers","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.5","2.5 Representing instructions in the computer","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.6","2.6 Logical operations","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.7","2.7 Instructions for making decisions","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.8","2.8 Supporting procedures in computer hardware","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.9","2.9 Communicating with people","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.10","2.10 RISC-V Addressing for Wide Immediates and Addresses","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.11","2.11 Parallelism and instructions: synchronization","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.12","2.12 Translating and starting a program","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.13","2.13 A C sort example to put it all together","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.14","2.14 Arrays versus pointers","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.15","2.15 Advanced material: Compiling C and interpreting Java","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.16","2.16 Real stuff: MIPS instructions","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.17","2.17 Real stuff: ARMv7 (32-bit) instructions","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.18","2.18 Real stuff: ARMv8 (64-bit) instruction set","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.19","2.19 Real stuff: x86 instructions","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.20","2.20 Real stuff: The rest of the RISC-V instruction set","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.21","2.21 Going faster: Matrix multiply in C","OPTIONAL","Weeks 4-6: ISA and program-to-machine","Useful enrichment, practice, or reference; not required of every student.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.22","2.22 Fallacies and pitfalls","UNUSED","Weeks 4-6: ISA and program-to-machine","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.23","2.23 Concluding remarks","UNUSED","Weeks 4-6: ISA and program-to-machine","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.24","2.24 Historical perspective and further reading","UNUSED","Weeks 4-6: ISA and program-to-machine","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.25","2.25 Self study","UNUSED","Weeks 4-6: ISA and program-to-machine","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.26","2.26 Exercises","UNUSED","Weeks 4-6: ISA and program-to-machine","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.27","2.27 RISC-V Simulator","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.1","3.1 Introduction","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.2","3.2 Addition and subtraction","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.3","3.3 Multiplication","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.4","3.4 Division","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.5","3.5 Floating point","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.6","3.6 Parallelism and computer arithmetic: Subword parallelism","KEEP","Weeks 7-8: arithmetic","Required conceptual path supporting the existing semester spine.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.7","3.7 Real stuff: Streaming SIMD extensions and advanced vector extensions in x86","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.8","3.8 Going faster: Subword parallelism and matrix multiply","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.9","3.9 Fallacies and pitfalls","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.10","3.10 Concluding remarks","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.11","3.11 Historical perspective and further reading","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.12","3.12 Self study","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","3","3. Arithmetic for Computers","3.13","3.13 Exercises","OPTIONAL","Weeks 7-8: arithmetic","Useful enrichment, practice, or reference; not required of every student.","ISA and signed-number basics."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.1","4.1 Introduction","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.2","4.2 Logic design conventions","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.3","4.3 Building a datapath","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.4","4.4 A simple implementation scheme","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.5","4.5 A multicycle implementation","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.6","4.6 An overview of pipelining","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.7","4.7 Pipelined datapath and control","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.8","4.8 Data hazards: Forwarding versus stalling","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.9","4.9 Control hazards","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.10","4.10 Exceptions","KEEP","Weeks 10-12: datapath and pipelines","Required conceptual path supporting the existing semester spine.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.11","4.11 Parallelism via instructions","OPTIONAL","Weeks 10-12: datapath and pipelines","Useful enrichment, practice, or reference; not required of every student.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.12","4.12 Putting it all together: The Intel Core i7 6700 and ARM Cortex-A53","OPTIONAL","Weeks 10-12: datapath and pipelines","Useful enrichment, practice, or reference; not required of every student.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.13","4.13 Going faster: Instruction-level parallelism and matrix multiply","OPTIONAL","Weeks 10-12: datapath and pipelines","Useful enrichment, practice, or reference; not required of every student.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.14","4.14 Advanced topic: An intro to digital design using a hardware design language to describe and model a pipeline","OPTIONAL","Weeks 10-12: datapath and pipelines","Useful enrichment, practice, or reference; not required of every student.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.15","4.15 Fallacies and pitfalls","UNUSED","Weeks 10-12: datapath and pipelines","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.16","4.16 Concluding remarks","UNUSED","Weeks 10-12: datapath and pipelines","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.17","4.17 Historical perspective and further reading","UNUSED","Weeks 10-12: datapath and pipelines","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.18","4.18 Self study","UNUSED","Weeks 10-12: datapath and pipelines","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","4","4. The Processor","4.19","4.19 Exercises","UNUSED","Weeks 10-12: datapath and pipelines","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","ISA and arithmetic model."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.1","5.1 Introduction","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.2","5.2 Memory technologies","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.3","5.3 The basics of caches","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.4","5.4 Measuring and improving cache performance","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.5","5.5 Dependable memory hierarchy","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.6","5.6 Virtual machines","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.7","5.7 Virtual memory","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.8","5.8 A common framework for memory hierarchy","KEEP","Weeks 13-14: memory hierarchy","Required conceptual path supporting the existing semester spine.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.9","5.9 Using a finite-state machine to control a simple cache","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.10","5.10 Parallelism and memory hierarchies: Cache coherence","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.11","5.11 Parallelism and memory hierarchy: Redundant arrays of inexpensive disks","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.12","5.12 Advanced material: Implementing cache controllers","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.13","5.13 Real stuff: The ARM Cortex-A8 and Intel Core i7 memory hierarchies","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.14","5.14 Real stuff: The rest of the RISC-V system and special instructions","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.15","5.15 Going faster: Cache blocking and matrix multiply","OPTIONAL","Weeks 13-14: memory hierarchy","Useful enrichment, practice, or reference; not required of every student.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.16","5.16 Fallacies and pitfalls","UNUSED","Weeks 13-14: memory hierarchy","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.17","5.17 Concluding remarks","UNUSED","Weeks 13-14: memory hierarchy","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.18","5.18 Historical perspective and further reading","UNUSED","Weeks 13-14: memory hierarchy","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.19","5.19 Self study","UNUSED","Weeks 13-14: memory hierarchy","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","5","5. Memory Hierarchy","5.20","5.20 Exercises","UNUSED","Weeks 13-14: memory hierarchy","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Datapath/performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.1","6.1 Introduction","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.2","6.2 The difficulty of creating parallel processing programs","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.3","6.3 SISD, MIMD, SIMD, SPMD, and vector","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.4","6.4 Hardware multithreading","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.5","6.5 Multicore and other shared memory multiprocessors","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.6","6.6 Introduction to graphics processing units","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.7","6.7 Domain specific architectures","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.8","6.8 Clusters, warehouse scale computers, and other message-passing multiprocessors","KEEP","Weeks 15-16: parallel systems","Required conceptual path supporting the existing semester spine.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.9","6.9 Introduction to multiprocessor network topologies","OPTIONAL","Weeks 15-16: parallel systems","Useful enrichment, practice, or reference; not required of every student.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.10","6.10 Communicating to the outside world: Cluster networking","OPTIONAL","Weeks 15-16: parallel systems","Useful enrichment, practice, or reference; not required of every student.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.11","6.11 Multiprocessor benchmarks and performance models","OPTIONAL","Weeks 15-16: parallel systems","Useful enrichment, practice, or reference; not required of every student.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.12","6.12 Real stuff: Benchmarking the Google TPUv3 supercomputer and an NVIDIA Volta GPU cluster","OPTIONAL","Weeks 15-16: parallel systems","Useful enrichment, practice, or reference; not required of every student.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.13","6.13 Going faster: Multiple processors and matrix multiply","OPTIONAL","Weeks 15-16: parallel systems","Useful enrichment, practice, or reference; not required of every student.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.14","6.14 Fallacies and pitfalls","UNUSED","Weeks 15-16: parallel systems","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.15","6.15 Concluding remarks","UNUSED","Weeks 15-16: parallel systems","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.16","6.16 Historical perspective and further reading","UNUSED","Weeks 15-16: parallel systems","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.17","6.17 Self study","UNUSED","Weeks 15-16: parallel systems","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","6","6. Parallel Processors","6.18","6.18 Exercises","UNUSED","Weeks 15-16: parallel systems","Outside the Fall 2026 required path or better served by instructor-created systems investigation.","Performance and memory hierarchy basics."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.1","7.1 zyLab training: Basics","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.2","7.2 LAB: Arithmetic expression - add/sub","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.3","7.3 LAB: Arithmetic expression - add/sub/mul","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.4","7.4 LAB: Array of squares - lw/sw","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.5","7.5 LAB: Max of 3 - branch","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.6","7.6 LAB: Array of Fibonacci sequence - loop","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.7","7.7 LAB: Multiplications and divisions using shift operations - bitwise operations","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.8","7.8 LAB: Volume of a rectangular box - lw/sw","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
"SWOSUCOMSC3013EvertFall2026","7","7. RISC-V Labs","7.9","7.9 LAB: Procedure calls","OPTIONAL","Optional RISC-V practice","Useful enrichment, practice, or reference; not required of every student.","Weeks 4-6 ISA work and selected simulator."
